t,leader_q1_target,leader_ee_x,leader_ee_y,leader_ee_z,follower_ee_x,follower_ee_y,follower_ee_z,mid_x,mid_y,mid_z,cable_span,cable_sag
0.016667,0.001108,-0.271166,-0.023903,0.843349,0.271166,0.023903,0.843349,0.011879,0.014497,0.839343,0.544435,-0.004006
0.033333,0.001108,-0.261268,-0.023429,0.847349,0.261265,0.023430,0.847351,0.015313,0.008308,0.827878,0.524629,-0.019472
0.050000,0.001108,-0.256938,-0.019078,0.847071,0.257312,0.018983,0.846814,0.013675,-0.000342,0.804048,0.515657,-0.042894
0.066667,0.001108,-0.254051,-0.015877,0.846722,0.254818,0.015745,0.846217,0.015686,-0.008315,0.776973,0.509850,-0.069496
0.083333,0.001108,-0.252197,-0.013577,0.846434,0.252832,0.013489,0.846027,0.007199,-0.013062,0.749864,0.505755,-0.096366
0.100000,0.001108,-0.251104,-0.011978,0.846164,0.251241,0.011910,0.846080,0.005097,-0.017693,0.726078,0.502913,-0.120044
0.116667,0.001108,-0.250359,-0.010792,0.845997,0.250345,0.010717,0.846000,0.009086,-0.018739,0.710607,0.501167,-0.135392
0.133333,0.001108,-0.249864,-0.009928,0.845890,0.249571,0.009887,0.846077,0.011604,-0.014294,0.702590,0.499828,-0.143394
0.150000,0.001108,-0.249065,-0.009316,0.846127,0.248052,0.009304,0.846775,0.009696,-0.009723,0.701360,0.497466,-0.145091
0.166667,0.001108,-0.247752,-0.008898,0.846783,0.247452,0.008866,0.846964,0.005519,-0.009072,0.701406,0.495522,-0.145468
0.183333,0.001108,-0.247125,-0.008568,0.847054,0.246851,0.008564,0.847233,0.003536,-0.010319,0.697889,0.494272,-0.149255
0.200000,0.001108,-0.246818,-0.008337,0.847166,0.246683,0.008333,0.847256,0.002806,-0.010254,0.699067,0.493782,-0.148144
0.216667,0.001108,-0.246329,-0.008171,0.847431,0.246371,0.008180,0.847410,0.002224,-0.009179,0.699570,0.492971,-0.147850
0.233333,0.001108,-0.245836,-0.008066,0.847719,0.246048,0.008070,0.847585,0.001817,-0.007879,0.698422,0.492148,-0.149230
0.250000,0.001108,-0.245206,-0.007995,0.848110,0.245654,0.007984,0.847816,0.002740,-0.007529,0.698082,0.491120,-0.149881
0.266667,0.001108,-0.244243,-0.007971,0.848737,0.245631,0.007890,0.847807,0.003984,-0.008045,0.695801,0.490131,-0.152471
0.283333,0.001108,-0.243457,-0.007934,0.849247,0.245619,0.007819,0.847805,0.005060,-0.008311,0.694463,0.489332,-0.154063
0.300000,0.001108,-0.243063,-0.007908,0.849500,0.245612,0.007768,0.847804,0.006014,-0.007768,0.694577,0.488930,-0.154074
0.316667,0.001108,-0.242715,-0.007896,0.849732,0.245608,0.007732,0.847803,0.006792,-0.006781,0.694659,0.488577,-0.154109
0.333333,0.001108,-0.241570,-0.007917,0.850521,0.245604,0.007706,0.847802,0.007268,-0.005864,0.694839,0.487432,-0.154322
0.350000,0.001108,-0.240544,-0.007943,0.851226,0.245602,0.007688,0.847802,0.007534,-0.005293,0.694341,0.486410,-0.155173
0.366667,0.001108,-0.238706,-0.008014,0.852526,0.245600,0.007675,0.847801,0.007693,-0.004904,0.693464,0.484584,-0.156700
0.383333,0.001108,-0.236929,-0.008093,0.853798,0.245599,0.007666,0.847801,0.007746,-0.004409,0.692795,0.482823,-0.158004
0.400000,0.001108,-0.234142,-0.007848,0.855827,0.245598,0.007659,0.847801,0.007813,-0.003819,0.692632,0.480058,-0.159182
0.416667,0.001108,-0.231717,-0.007446,0.857619,0.245597,0.007655,0.847801,0.007971,-0.003383,0.692259,0.477654,-0.160451
0.433333,0.001108,-0.229931,-0.007068,0.858970,0.245597,0.007651,0.847801,0.008315,-0.003164,0.691950,0.475887,-0.161435
0.450000,0.001108,-0.228251,-0.006764,0.860278,0.245596,0.007649,0.847800,0.008736,-0.003045,0.691639,0.474231,-0.162400
0.466667,0.001108,-0.226829,-0.006246,0.861381,0.245596,0.007647,0.847800,0.009208,-0.002860,0.691333,0.472825,-0.163257
0.483333,0.001108,-0.225750,-0.005824,0.862239,0.245596,0.007646,0.847800,0.009719,-0.002663,0.691062,0.471759,-0.163957
0.500000,0.001108,-0.225407,-0.005877,0.862542,0.245596,0.007645,0.847800,0.010213,-0.002448,0.690818,0.471428,-0.164353
0.516667,0.001108,-0.225145,-0.006092,0.862785,0.245596,0.007645,0.847800,0.010591,-0.002151,0.690837,0.471180,-0.164456
0.533333,0.001108,-0.224894,-0.006186,0.863001,0.245596,0.007644,0.847800,0.010828,-0.001834,0.690856,0.470939,-0.164545
