t,min_z,mid_z,max_x,min_dist_to_bar,on_bar,bar_x,bar_y,bar_z
0.0167,1.30862,1.38077,0.98027,0.05322,1,0.5000,0.0000,1.3700
0.0333,1.27675,1.37005,0.96943,0.05281,1,0.5000,0.0000,1.3700
0.0500,1.24240,1.35989,0.95593,0.05291,1,0.5000,0.0000,1.3700
0.0667,1.20583,1.35026,0.93895,0.05265,1,0.5000,0.0000,1.3700
0.0833,1.16698,1.34121,0.91787,0.05267,1,0.5000,0.0000,1.3700
0.1000,1.12510,1.33271,0.89198,0.05273,1,0.5000,0.0000,1.3700
0.1167,1.07544,1.32477,0.86297,0.05263,1,0.5000,0.0000,1.3700
0.1333,1.02312,1.31747,0.82646,0.05210,1,0.5000,0.0000,1.3700
0.1500,0.97463,1.31095,0.77823,0.05185,1,0.5000,0.0000,1.3700
0.1667,0.93934,1.30548,0.71799,0.05119,1,0.5000,0.0000,1.3700
0.1833,0.92110,1.30141,0.65125,0.05112,1,0.5000,0.0000,1.3700
0.2000,0.91299,1.29869,0.61300,0.05127,1,0.5000,0.0000,1.3700
0.2167,0.91466,1.29721,0.59698,0.05146,1,0.5000,0.0000,1.3700
0.2333,0.92425,1.29687,0.58507,0.05133,1,0.5000,0.0000,1.3700
0.2500,0.93856,1.29751,0.57986,0.05142,1,0.5000,0.0000,1.3700
0.2667,0.95507,1.29896,0.57915,0.05124,1,0.5000,0.0000,1.3700
0.2833,0.97200,1.30102,0.57849,0.05090,1,0.5000,0.0000,1.3700
0.3000,0.98828,1.30359,0.57832,0.05078,1,0.5000,0.0000,1.3700
0.3167,1.00334,1.30650,0.57831,0.05077,1,0.5000,0.0000,1.3700
0.3333,1.01699,1.30963,0.57834,0.05079,1,0.5000,0.0000,1.3700
0.3500,1.02928,1.31289,0.57844,0.05060,1,0.5000,0.0000,1.3700
0.3667,1.04032,1.31618,0.57844,0.05078,1,0.5000,0.0000,1.3700
0.3833,1.05038,1.31941,0.57848,0.05042,1,0.5000,0.0000,1.3700
0.4000,1.05945,1.32242,0.57853,0.05037,1,0.5000,0.0000,1.3700
0.4167,1.06760,1.32502,0.57860,0.05037,1,0.5000,0.0000,1.3700
0.4333,1.07500,1.32711,0.57871,0.05033,1,0.5000,0.0000,1.3700
0.4500,1.08142,1.32863,0.57879,0.05026,1,0.5000,0.0000,1.3700
0.4667,1.08646,1.32953,0.57883,0.05016,1,0.5000,0.0000,1.3700
0.4833,1.08980,1.32980,0.57879,0.05009,1,0.5000,0.0000,1.3700
0.5000,1.09145,1.32948,0.57872,0.05007,1,0.5000,0.0000,1.3700
0.5167,1.09143,1.32859,0.57860,0.05007,1,0.5000,0.0000,1.3700
0.5333,1.08969,1.32718,0.57847,0.04994,1,0.5000,0.0000,1.3700
0.5500,1.08635,1.32526,0.57837,0.04984,1,0.5000,0.0000,1.3700
0.5667,1.08162,1.32290,0.57829,0.04981,1,0.5000,0.0000,1.3700
0.5833,1.07533,1.32019,0.57823,0.04986,1,0.5000,0.0000,1.3700
0.6000,1.06730,1.31725,0.57817,0.04985,1,0.5000,0.0000,1.3700
0.6167,1.05741,1.31419,0.57810,0.04986,1,0.5000,0.0000,1.3700
0.6333,1.04491,1.31114,0.57808,0.04984,1,0.5000,0.0000,1.3700
0.6500,1.02913,1.30813,0.57810,0.04984,1,0.5000,0.0000,1.3700
0.6667,1.00984,1.30518,0.57814,0.04986,1,0.5000,0.0000,1.3700
0.6833,0.98775,1.30233,0.57817,0.04990,1,0.5000,0.0000,1.3700
0.7000,0.96429,1.29959,0.57816,0.04993,1,0.5000,0.0000,1.3700
0.7167,0.94175,1.29701,0.57801,0.04994,1,0.5000,0.0000,1.3700
0.7333,0.92321,1.29466,0.57773,0.04990,1,0.5000,0.0000,1.3700
0.7500,0.91108,1.29264,0.57736,0.04982,1,0.5000,0.0000,1.3700
0.7667,0.90512,1.29113,0.57743,0.04973,1,0.5000,0.0000,1.3700
0.7833,0.90174,1.29013,0.57828,0.04963,1,0.5000,0.0000,1.3700
0.8000,0.90052,1.28960,0.61220,0.04961,1,0.5000,0.0000,1.3700
0.8167,0.90312,1.28950,0.64748,0.04943,1,0.5000,0.0000,1.3700
0.8333,0.90844,1.28980,0.67939,0.04933,1,0.5000,0.0000,1.3700
0.8500,0.91548,1.29044,0.70790,0.04923,1,0.5000,0.0000,1.3700
0.8667,0.92349,1.29135,0.73326,0.04930,1,0.5000,0.0000,1.3700
0.8833,0.93195,1.29250,0.75550,0.04933,1,0.5000,0.0000,1.3700
0.9000,0.94042,1.29383,0.77501,0.04949,1,0.5000,0.0000,1.3700
0.9167,0.94850,1.29526,0.79196,0.04959,1,0.5000,0.0000,1.3700
0.9333,0.95600,1.29676,0.80662,0.04979,1,0.5000,0.0000,1.3700
0.9500,0.96277,1.29828,0.81898,0.04981,1,0.5000,0.0000,1.3700
0.9667,0.96864,1.29977,0.82921,0.05024,1,0.5000,0.0000,1.3700
0.9833,0.97347,1.30121,0.83727,0.05052,1,0.5000,0.0000,1.3700
1.0000,0.97718,1.30254,0.84327,0.05116,1,0.5000,0.0000,1.3700
1.0167,0.97968,1.30371,0.84722,0.05103,1,0.5000,0.0000,1.3700
1.0333,0.98096,1.30467,0.84928,0.05085,1,0.5000,0.0000,1.3700
1.0500,0.98092,1.30536,0.84950,0.05074,1,0.5000,0.0000,1.3700
1.0667,0.97977,1.30575,0.84820,0.05079,1,0.5000,0.0000,1.3700
1.0833,0.97771,1.30581,0.84533,0.05086,1,0.5000,0.0000,1.3700
1.1000,0.97496,1.30557,0.84103,0.05094,1,0.5000,0.0000,1.3700
1.1167,0.97172,1.30507,0.83541,0.05101,1,0.5000,0.0000,1.3700
1.1333,0.96806,1.30437,0.82869,0.05109,1,0.5000,0.0000,1.3700
1.1500,0.96403,1.30350,0.82102,0.05118,1,0.5000,0.0000,1.3700
1.1667,0.95965,1.30248,0.81244,0.05130,1,0.5000,0.0000,1.3700
1.1833,0.95491,1.30132,0.80305,0.05146,1,0.5000,0.0000,1.3700
1.2000,0.94982,1.30006,0.79280,0.05165,1,0.5000,0.0000,1.3700
1.2167,0.94440,1.29870,0.78153,0.05182,1,0.5000,0.0000,1.3700
1.2333,0.93882,1.29728,0.76898,0.05197,1,0.5000,0.0000,1.3700
1.2500,0.93324,1.29588,0.75500,0.05203,1,0.5000,0.0000,1.3700
1.2667,0.92779,1.29455,0.73952,0.05211,1,0.5000,0.0000,1.3700
1.2833,0.92253,1.29330,0.72259,0.05195,1,0.5000,0.0000,1.3700
1.3000,0.91748,1.29213,0.70430,0.05174,1,0.5000,0.0000,1.3700
1.3167,0.91283,1.29109,0.68473,0.05157,1,0.5000,0.0000,1.3700
1.3333,0.90884,1.29021,0.66399,0.05148,1,0.5000,0.0000,1.3700
1.3500,0.90580,1.28951,0.64220,0.05160,1,0.5000,0.0000,1.3700
1.3667,0.90380,1.28902,0.61956,0.05174,1,0.5000,0.0000,1.3700
1.3833,0.90305,1.28873,0.59630,0.05172,1,0.5000,0.0000,1.3700
1.4000,0.90372,1.28865,0.58347,0.05173,1,0.5000,0.0000,1.3700
1.4167,0.90479,1.28878,0.58319,0.05174,1,0.5000,0.0000,1.3700
1.4333,0.90572,1.28907,0.58291,0.05178,1,0.5000,0.0000,1.3700
1.4500,0.90798,1.28955,0.58261,0.05185,1,0.5000,0.0000,1.3700
1.4667,0.91148,1.29017,0.58238,0.05181,1,0.5000,0.0000,1.3700
1.4833,0.91588,1.29088,0.58217,0.05193,1,0.5000,0.0000,1.3700
1.5000,0.92089,1.29163,0.58200,0.05191,1,0.5000,0.0000,1.3700
1.5167,0.92628,1.29240,0.58196,0.05175,1,0.5000,0.0000,1.3700
1.5333,0.93186,1.29317,0.58187,0.05169,1,0.5000,0.0000,1.3700
1.5500,0.93740,1.29393,0.58178,0.05161,1,0.5000,0.0000,1.3700
1.5667,0.94261,1.29463,0.58180,0.05155,1,0.5000,0.0000,1.3700
1.5833,0.94723,1.29524,0.58173,0.05135,1,0.5000,0.0000,1.3700
1.6000,0.95104,1.29572,0.58180,0.05131,1,0.5000,0.0000,1.3700
1.6167,0.95384,1.29603,0.58173,0.05117,1,0.5000,0.0000,1.3700
1.6333,0.95553,1.29619,0.58168,0.05122,1,0.5000,0.0000,1.3700
1.6500,0.95591,1.29615,0.58164,0.05116,1,0.5000,0.0000,1.3700
1.6667,0.95510,1.29599,0.58158,0.05136,1,0.5000,0.0000,1.3700
1.6833,0.95332,1.29572,0.58151,0.05139,1,0.5000,0.0000,1.3700
1.7000,0.95059,1.29536,0.58152,0.05148,1,0.5000,0.0000,1.3700
1.7167,0.94698,1.29490,0.58146,0.05156,1,0.5000,0.0000,1.3700
1.7333,0.94265,1.29437,0.58144,0.05147,1,0.5000,0.0000,1.3700
1.7500,0.93779,1.29376,0.58142,0.05142,1,0.5000,0.0000,1.3700
1.7667,0.93259,1.29309,0.58141,0.05136,1,0.5000,0.0000,1.3700
1.7833,0.92728,1.29235,0.58146,0.05112,1,0.5000,0.0000,1.3700
1.8000,0.92214,1.29161,0.58148,0.05122,1,0.5000,0.0000,1.3700
1.8167,0.91744,1.29088,0.58145,0.05120,1,0.5000,0.0000,1.3700
