t,leader_q1_target,leader_ee_x,leader_ee_y,leader_ee_z,follower_ee_x,follower_ee_y,follower_ee_z,mid_x,mid_y,mid_z,cable_span,cable_sag
0.016667,-0.011697,-0.271879,-0.027215,0.843276,0.272780,0.016809,0.843859,-0.006709,-0.002908,0.787643,0.546435,-0.055925
0.033333,-0.011697,-0.263393,-0.026240,0.847142,0.267126,0.020327,0.848566,0.003289,-0.015184,0.806200,0.532561,-0.041655
0.050000,-0.011697,-0.260227,-0.020007,0.846563,0.267417,0.016812,0.848711,0.010528,-0.023399,0.825536,0.528932,-0.022102
0.066667,-0.011697,-0.258102,-0.015515,0.846140,0.268320,0.013393,0.848988,0.005359,-0.024914,0.812008,0.527223,-0.035556
0.083333,-0.011697,-0.256738,-0.012287,0.845854,0.269827,0.010526,0.849381,0.008890,-0.027427,0.765940,0.527070,-0.081678
0.100000,-0.011697,-0.255858,-0.009977,0.845657,0.271845,0.008315,0.849869,0.007612,-0.009755,0.763862,0.528037,-0.083901
0.116667,-0.011697,-0.255278,-0.008323,0.845526,0.274249,0.006611,0.850424,0.009442,0.004608,0.770850,0.529760,-0.077125
0.133333,-0.011697,-0.254873,-0.007139,0.845432,0.276899,0.005266,0.851016,0.008268,0.014814,0.781136,0.531946,-0.067088
0.150000,-0.011697,-0.254588,-0.006291,0.845367,0.279695,0.004187,0.851620,0.009460,0.016491,0.774476,0.534422,-0.074017
0.166667,-0.011697,-0.254394,-0.005685,0.845323,0.282542,0.003264,0.852218,0.012596,0.007369,0.771657,0.537055,-0.077114
0.183333,-0.011697,-0.254261,-0.005250,0.845289,0.285359,0.002515,0.852793,0.015777,-0.007257,0.774089,0.539727,-0.074952
0.200000,-0.011697,-0.254168,-0.004940,0.845268,0.288077,0.001895,0.853331,0.018483,-0.020912,0.777666,0.542348,-0.071633
0.216667,-0.011697,-0.254099,-0.004717,0.845251,0.290633,0.001393,0.853823,0.019713,-0.026103,0.779648,0.544834,-0.069889
0.233333,-0.011697,-0.254050,-0.004558,0.845239,0.292989,0.000993,0.854265,0.020762,-0.022101,0.781077,0.547142,-0.068675
0.250000,-0.011697,-0.254015,-0.004444,0.845230,0.295107,0.000674,0.854653,0.021182,-0.011826,0.783288,0.549226,-0.066654
0.266667,-0.011697,-0.253990,-0.004363,0.845224,0.296954,0.000406,0.854985,0.021245,-0.000702,0.784748,0.551051,-0.065356
0.283333,-0.011697,-0.253975,-0.004304,0.845220,0.298520,0.000195,0.855260,0.021476,0.004890,0.786219,0.552604,-0.064021
0.300000,-0.011697,-0.253962,-0.004263,0.845218,0.299797,0.000018,0.855481,0.022503,0.002527,0.787881,0.553871,-0.062468
0.316667,-0.011697,-0.253950,-0.004233,0.845215,0.300791,-0.000112,0.855650,0.023480,-0.002927,0.788776,0.554854,-0.061656
0.333333,-0.011697,-0.253956,-0.004215,0.845217,0.301506,-0.000230,0.855771,0.024172,-0.007763,0.789193,0.555577,-0.061301
0.350000,-0.011697,-0.253950,-0.004198,0.845215,0.301967,-0.000323,0.855848,0.024575,-0.010328,0.789605,0.556032,-0.060927
0.366667,-0.011697,-0.253946,-0.004188,0.845214,0.302180,-0.000389,0.855883,0.024761,-0.010818,0.790029,0.556242,-0.060520
0.383333,-0.011697,-0.253949,-0.004180,0.845215,0.302173,-0.000449,0.855882,0.024700,-0.010076,0.790097,0.556237,-0.060452
0.400000,-0.011697,-0.253953,-0.004175,0.845216,0.301971,-0.000493,0.855848,0.024522,-0.009088,0.789763,0.556038,-0.060769
